time_stamp, elapsed_time, camera_id, face_count, avg_FEQ, person1, person2, person3, person4, person5, person6, person7, person8, person9
2018-06-14-09:53:38.301, 24.335299, 4, 2, 0.010520093841478229, 0.01634012721478939, 0.004700060468167067
2018-06-14-09:53:38.401, 24.435282, 4, 2, 0.012534733628854156, 0.01778038963675499, 0.0072890776209533215
2018-06-14-09:53:38.552, 24.586646, 4, 2, 0.008128056768327951, 0.011463796719908714, 0.004792316816747189
2018-06-14-09:53:38.661, 24.69492, 4, 2, 0.006842830451205373, 0.007999754510819912, 0.005685906391590834
2018-06-14-09:53:38.789, 24.823303, 4, 2, 0.006190157495439053, 0.008950711227953434, 0.003429603762924671
2018-06-14-09:53:38.932, 24.966286, 4, 2, 0.01085280068218708, 0.013325147330760956, 0.008380454033613205
2018-06-14-09:53:39.041, 25.074914, 4, 2, 0.007472929311916232, 0.009303949773311615, 0.005641908850520849
2018-06-14-09:53:39.170, 25.204424, 4, 2, 0.00951674347743392, 0.014785408042371273, 0.004248078912496567
2018-06-14-09:53:39.281, 25.31542, 4, 2, 0.008508319966495037, 0.00978387612849474, 0.007232763804495335
2018-06-14-09:53:39.408, 25.44196, 4, 2, 0.012008388992398977, 0.0066411131992936134, 0.01737566478550434
2018-06-14-09:53:39.541, 25.575061, 4, 2, 0.007087952457368374, 0.006145091727375984, 0.008030813187360764
2018-06-14-09:53:39.653, 25.687109, 4, 2, 0.010952608310617507, 0.018020739778876305, 0.0038844768423587084
2018-06-14-09:53:39.772, 25.805996, 4, 3, 0.009564744929472605, 0.010776725597679615, 0.008577484637498856, 0.009340024553239346
2018-06-14-09:53:39.933, 25.966897, 4, 3, 0.01674586037794749, 0.005179712548851967, 0.014728613197803497, 0.030329255387187004
2018-06-14-09:53:40.044, 26.078533, 4, 2, 0.01812203973531723, 0.013222822919487953, 0.023021256551146507
2018-06-14-09:53:40.182, 26.216054, 4, 3, 0.012947029434144497, 0.01182339433580637, 0.008577484637498856, 0.018440209329128265
2018-06-14-09:53:40.289, 26.323235, 4, 2, 0.016643921844661236, 0.017442483454942703, 0.01584536023437977
2018-06-14-09:53:40.450, 26.484534, 4, 3, 0.013022510024408499, 0.011642225086688995, 0.0091610262170434, 0.018264278769493103
2018-06-14-09:53:40.580, 26.614023, 4, 3, 0.021035780819753807, 0.0285983607172966, 0.015603533945977688, 0.01890544779598713
2018-06-14-09:53:40.710, 26.743964, 4, 3, 0.029977447353303432, 0.01141961570829153, 0.02112519182264805, 0.05738753452897072
2018-06-14-09:53:40.840, 26.874563, 4, 2, 0.02398903458379209, 0.0064381021074950695, 0.04153996706008911
2018-06-14-09:53:41.000, 27.034713, 4, 3, 0.01573673604677121, 0.0075479233637452126, 0.023509450256824493, 0.01615283451974392
2018-06-14-09:53:41.142, 27.175899, 4, 3, 0.05223271809518337, 0.09807932376861572, 0.019643759354948997, 0.0389750711619854
2018-06-14-09:53:41.251, 27.285594, 4, 3, 0.06807651277631521, 0.03271312639117241, 0.006192990578711033, 0.1653234213590622
2018-06-14-09:53:41.410, 27.44398, 4, 3, 0.07060129738723238, 0.016277460381388664, 0.005554925184696913, 0.18997150659561157
2018-06-14-09:53:41.540, 27.574367, 4, 2, 0.02331108250655234, 0.005469274241477251, 0.041152890771627426
2018-06-14-09:53:41.671, 27.705155, 4, 3, 0.03384794620797038, 0.007066401187330484, 0.055208683013916016, 0.03926875442266464
2018-06-14-09:53:41.800, 27.834625, 4, 3, 0.04666566662490368, 0.09773432463407516, 0.01919744908809662, 0.023065226152539253
2018-06-14-09:53:41.931, 27.965549, 4, 3, 0.0185514943053325, 0.014392335899174213, 0.008610767312347889, 0.0326513797044754
2018-06-14-09:53:42.071, 28.105101, 4, 3, 0.14828776568174362, 0.34809091687202454, 0.03949040547013283, 0.0572819747030735
2018-06-14-09:53:42.231, 28.265533, 4, 3, 0.02078443082670371, 0.007460643537342548, 0.014503580518066883, 0.04038906842470169
2018-06-14-09:53:42.361, 28.394948, 4, 3, 0.0911462710549434, 0.20260092616081238, 0.01501474715769291, 0.05582313984632492
2018-06-14-09:53:42.491, 28.524786, 4, 2, 0.1355056595057249, 0.23283304274082184, 0.038178276270627975
2018-06-14-09:53:42.620, 28.65415, 4, 3, 0.021624550844232242, 0.017917344346642494, 0.022672438994050026, 0.024283869192004204
2018-06-14-09:53:42.750, 28.784419, 4, 3, 0.08326670403281848, 0.20561504364013672, 0.020177319645881653, 0.024007748812437057
